Sample ID	Extraction ID	RC	Population
201	1	Pass	Ka
202	2	Pass	Ka
203	3	Pass	Ka
204	4	Pass	Ka
205	5	Pass	Upp
206	6	Pass	Upp
207	7	Pass	L
208	8	Pass	L
209	9	Pass	L
210	10	Pass	E
211	11	Pass	E
212	12	Pass	C.Fin
213	13	Pass	C.Fin
214	17	Pass	VF
215	18	Pass	VF
217	20	Pass	NA
218	22	Pass	NL
219	23	Pass	NL
220	24	Pass	NL
221	25	Pass	Ka
222	26	Pass	Ka
223	27	Pass	Upp
224	28	Pass	Upp
233	42	Pass	NA
234	43	Pass	NA
235	44	Pass	NA
236	45	Pass	NA
237	46	Pass	NL
238	47	Pass	NL
239	49	Pass	Ka
240	50	Pass	Ka
241	51	Pass	Upp
242	52	Pass	Upp
243	53	Pass	L
244	54	Pass	L
246	56	Pass	E
248	58	Pass	E
252	65	Pass	VF
253	66	Pass	VF
257	70	Pass	NL
258	71	Pass	NL
259	72	Pass	NL
260	73	Pass	Ka
261	74	Pass	Ka
262	75	Pass	Upp
263	76	Pass	Upp
265	78	Pass	Upp
266	79	Pass	L
267	80	Pass	L
268	81	Pass	L
270	83	Pass	E
271	84	Pass	E
272	85	Pass	C.Fin
274	87	Pass	C.Fin
276	92	Pass	VF
277	94	Pass	VF
278	95	Pass	NA
281		Fail	
282		Fail	
283		Fail	
301	96	Pass	NL
302	30	Pass	L
303	31	Pass	L
304	32	Pass	E
305	34	Pass	C.Fin
306	35	Pass	C.Fin
307	39	Pass	VF
308	40	Pass	VF
309	41	Pass	VF
310	67	Pass	NA
313	82	Fail	E
314	86	Pass	C.Fin
315	88	Fail	C.Fin
316	68	Pass	NA
317	69	Pass	NA
318	57	Fail	E
